0.93 2.08 0.83|0.9222284 0.005900118 -0.3442459 -0.1759398
0.9327262 2.124186 0.8448887|0.9356065 -0.01220246 -0.3230536 -0.1418727
0.9427704 2.172727 0.862425|0.9269767 -0.02569947 -0.3530886 -0.1240245
0.9551656 2.231009 0.8784243|0.9178888 -0.02969763 -0.3722787 -0.1341894
0.9680611 2.278893 0.8938628|0.9075382 -0.03223561 -0.3930203 -0.1444661
0.9809361 2.318242 0.9093189|0.8963938 -0.03457861 -0.4139433 -0.1547045
0.9809361 2.318242 0.9093189|0.8963938 -0.03457861 -0.4139433 -0.1547045
0.9936415 2.349389 0.9248485|0.884603 -0.03682909 -0.4346952 -0.1648069
1.006137 2.372454 0.9404953|0.8722262 -0.03905244 -0.4551327 -0.1747879
1.018426 2.38744 0.9562352|0.8592733 -0.04124722 -0.4752427 -0.1846411
1.030499 2.394355 0.9720654|0.8457552 -0.04341204 -0.4950128 -0.1943601
1.042352 2.393199 0.9879684|0.8316824 -0.04554555 -0.5144305 -0.2039389
1.05398 2.38398 1.003942|0.8170664 -0.04764639 -0.5334841 -0.2133713
1.05398 2.38398 1.003942|0.8170664 -0.04764639 -0.5334841 -0.2133713
1.06538 2.366701 1.019969|0.8019181 -0.04971324 -0.5521616 -0.2226516
1.076549 2.341367 1.036047|0.7862494 -0.05174484 -0.5704517 -0.2317739
1.087484 2.307984 1.052153|0.7700727 -0.05373992 -0.5883436 -0.2407327
1.098188 2.266556 1.068277|0.7533998 -0.05569726 -0.6058261 -0.2495223
1.108653 2.217089 1.084418|0.7362436 -0.05761568 -0.6228891 -0.2581376
1.108653 2.217089 1.084418|0.7362436 -0.05761568 -0.6228891 -0.2581376
1.118881 2.159587 1.10056|0.7186168 -0.05949403 -0.6395226 -0.2665733
1.128878 2.094055 1.116687|0.7005327 -0.06133117 -0.6557165 -0.2748244
1.147126 2.03946 1.142837|0.6860913 -0.07081561 -0.6637005 -0.2894227
1.176357 1.995105 1.179523|0.672503 -0.08086913 -0.6693395 -0.3052617
1.209727 1.949285 1.220124|0.6585405 -0.09084805 -0.6742209 -0.3217101
1.209727 1.949285 1.220124|0.6585405 -0.09084805 -0.6742209 -0.3217101
1.248741 1.906187 1.265127|0.6469673 -0.09966277 -0.6754023 -0.3396064
1.240232 1.902005 1.250534|0.6387551 -0.1013167 -0.6861769 -0.3329989
1.239275 1.904263 1.246315|0.6375048 -0.1009414 -0.68739 -0.3330065
1.238607 1.906716 1.246341|0.6350571 -0.1032327 -0.6892825 -0.3330692
1.238304 1.907561 1.24673|0.6338632 -0.1044671 -0.6903005 -0.3328505
1.238304 1.907561 1.24673|0.6338632 -0.1044671 -0.6903005 -0.3328505
1.237871 1.907688 1.247018|0.6335581 -0.1049355 -0.6906533 -0.3325519
1.238148 1.907787 1.2468|0.6335135 -0.1048076 -0.6906509 -0.3326823
1.238253 1.907833 1.246919|0.63319 -0.1050828 -0.6909786 -0.3325305
1.238261 1.907832 1.247201|0.6328057 -0.1054527 -0.6914342 -0.3321979
1.240754 1.904585 1.244576|0.6330606 -0.1026508 -0.6924119 -0.3305493
1.240754 1.904585 1.244576|0.6330606 -0.1026508 -0.6924119 -0.3305493
1.242335 1.904814 1.24443|0.6299788 -0.1043301 -0.6952913 -0.3298664
1.242061 1.90697 1.245134|0.6284201 -0.1062561 -0.6959357 -0.3308646
1.239831 1.907569 1.246746|0.6294758 -0.1070256 -0.6948983 -0.33079
1.239037 1.90488 1.24737|0.6326802 -0.1047591 -0.6930307 -0.3293169
1.239371 1.905219 1.247452|0.6320915 -0.1051601 -0.6933389 -0.3296711
1.239271 1.907376 1.246817|0.6307595 -0.1063371 -0.6937527 -0.3309715
1.239271 1.907376 1.246817|0.6307595 -0.1063371 -0.6937527 -0.3309715
1.238868 1.908476 1.247024|0.6306154 -0.1068446 -0.693503 -0.3316054
1.238725 1.908903 1.247164|0.6308366 -0.1068406 -0.6931477 -0.3319288
1.23858 1.908948 1.247344|0.6312418 -0.1066288 -0.6928435 -0.3318616
1.238546 1.908967 1.247275|0.631299 -0.1065776 -0.6927815 -0.3318987
1.238568 1.908956 1.24725|0.6312428 -0.106598 -0.6928379 -0.3318808
1.238568 1.908956 1.24725|0.6312428 -0.106598 -0.6928379 -0.3318808
1.238599 1.908966 1.247244|0.6311895 -0.1066261 -0.692884 -0.3318771
1.238629 1.909016 1.247205|0.6310959 -0.1066814 -0.6929527 -0.3318941
1.241427 1.908829 1.244429|0.6297727 -0.1053976 -0.6942039 -0.3322027
1.240586 1.903334 1.24657|0.6304265 -0.1052808 -0.6958976 -0.3274215
1.242912 1.906697 1.244884|0.6267446 -0.106822 -0.6977731 -0.3299895
1.242912 1.906697 1.244884|0.6267446 -0.106822 -0.6977731 -0.3299895
1.244502 1.910366 1.243677|0.6230774 -0.1085907 -0.6999642 -0.331712
1.244288 1.911777 1.243505|0.6229345 -0.1091819 -0.6997399 -0.3322591
